target,text,processed_text
negative,@chrishasboobs AHHH I HOPE YOUR OK!!! ,ahhh hope your
negative,"@misstoriblack cool , i have no tweet apps  for my razr 2",cool have tweet apps razr
negative,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",know family drama its lamehey next time hang out with kim guys like have sleepover whatever ill call
negative,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,school email wont open have geography stuff there revise stupid school
negative,upper airways problem ,upper airways problem
negative,Going to miss Pastor's sermon on Faith... ,going miss pastors sermon faith
positive,on lunch....dj should come eat with me ,lunchdj should come eat with
negative,@piginthepoke oh why are you feeling like that? ,why are you feeling like that
negative,gahh noo!peyton needs to live!this is horrible ,gahh noopeyton needs livethis horrible
positive,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,thank you glad you like there product review bit site enjoy knitting
positive,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,zach makes pee sitting down grown gay man
positive,to sum up my day in one word ......... kackered! ,sum day one word kackered
positive,@k9wkj Great minds think alike ,great minds think alike
negative,Is Poorly and in bed! ,poorly bed
positive,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",thats really great here have small blizzard also cold wind blows
positive,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",lol calm down got day loan offer only
positive,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",feeling quite sleepy today wish could stay bed todaybut last year lets school
negative,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,yeah mathieu totally choked set let rog win well djokovic played terribly
negative,"ugh, morning's off to a rough start ",ugh mornings off rough start
negative,just bit my tongue ,bit tongue
negative,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,apparently you dont have time fans
positive,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,whaddup whaddup whaddup whaddup whaddup got white girl swag from head shoes whaddup
positive,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",willing pay thus covering cost set one them but youve got counter offer ill listen
positive,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,working photos from hillsongs year celebration stay tuned
negative,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",babys chicken pox are soo bad face afraid she might have scars
negative,i don't feel good ,dont feel good
positive,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,want see pictures from when you were minister boobie flahses
negative,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,day will pass slowly all these days will rawr
negative,my car is poorly ,car poorly
positive,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,turning one week from now but dont feel excited really dont know why ive seen friends they got excited but part
positive,No woooooork tomorrrow&amp;tuesday ,woooooork tomorrrowamptuesday
negative,Flatmates are still in the bathroom! ARGGH!! ,flatmates are still bathroom arggh
negative,I'm having an allergic reaction to silver earings ,having allergic reaction silver earings
negative,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",ill admit maybe ill feel better tomorrow down studio time
negative,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",going back sleep such great idea unfortunately already work notebookless
negative,what is with msn making me click the wrong people. garrrrr ,what with msn making click wrong people garrrrr
negative,Too full of fizz but not enough cider ,too full fizz but not enough cider
positive,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,how get your back worked
negative,Time to sleep... Long day again tomorrow ,time sleep long day again tomorrow
positive,Hahaha blakk is reckkkin it. :p throwwwwwed. ,hahaha blakk reckkkin thro
positive,Cubs game today! My first ever ,cubs game today first ever
positive,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,sounds like youre feeling bit betterthats great you have great day
positive,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,lol leave kid internet kid will stupid things
positive,eating cha with eric ,eating cha with eric
positive,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",good note did meet marty richards red ball few years ago you were sweet ill never forget
negative,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,hands are officially tied dont think ill have time anything anymore includes california meet
positive,"@Konstantine I said &quot;scar,&quot; sweetie. ",said quotscarquot sweetie
negative,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,was supposed live but didnt happened end that would have been cool being bbc
positive,FCK-Brï¿½ndby 4-0! ,fckbrndby
negative,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,jealous yet find local chinese satisfied with
positive,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,there few local yocals around happy find twitter day
positive,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",back from supercheap most successful trip bikes are tanked amp checked week all ready start relaxing
negative,@ElleChanel want to shoot...but i'm not in charlotte .. ,want shootbut not charlotte
positive,@sephrenia1982 good work ,good work
positive,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,welcome new out weekmaybe even tomorrow
negative,@CatholicChicks hate bein on the phone that long ,hate bein phone that long
positive,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",anyone wanted attend tedmed but cant make date ill happily take your place will liveblog you too
positive,@melbgirl It means the same to us!  #GoCats,means same
negative,"beach this morning,bbq this afternoon. Back to school/work 2morro ",beach morningbbq afternoon back schoolwork morro
positive,@joshlam and you are how old?? REALLY?!? ,you are how old really
negative,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,siteowner custom search box fail quotmarketquotquotenauquot does nothing still targets search should quotonly from australiaquot
positive,Watched Crank 2.... awesome ,watched crank awesome
positive,@TheUncoolest ,
positive,Night in with the rock star...  ,night with rock star
positive,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,dont really have reason haha sounds stupid ill
positive,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,first night myers not same wout lydia but actually excited about summer
negative,"my tooth is sving, and I cannot see my dentist for a week ",tooth sving cannot see dentist week
negative,cant sleep got heartburn really bad ,cant sleep got heartburn really bad
positive,Off to Whipsnade  Hope it's dry,off whipsnade hope its dry
negative,Going To Bed ...My Ankle Hurts ,going bed ankle hurts
negative,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,hates fact she scanned wrong passage all those commentaries she was going use her essay
negative,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,shame name female lol alright shower then sleep then get like hours
positive,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",fine kinders coughing again not lot sleep weathers good though thats main thing
positive,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,listening nutcracker who says its only christmas thing
positive,"i miss him, i cant wait to see him, im happy ",miss him cant wait see him happy
negative,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,are you missing missing tuesday nights
positive,"@mithss mourniiiiiiing eh, morniiing!!! ",mourniiiiiiing morniiing
positive,@pamelaong Glad the blog helped ,glad blog helped
positive,Awesome pumpkin! Your famous ,awesome pumpkin your famous
negative,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",sadly ive never seen single episode know fired right
positive,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,haha will hows you long time reply
negative,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",good luck paula please dont work too hard but hope you have fun your new album gonna amazing xxx
positive,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,seattle pride will june come out support your community march with marriage equality contingent
positive,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",seriosuly second one quotsince already mid class dude would work foodquot
