target,text
negative,@chrishasboobs AHHH I HOPE YOUR OK!!! 
negative,"@misstoriblack cool , i have no tweet apps  for my razr 2"
negative,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u"
negative,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(
negative,upper airways problem 
negative,Going to miss Pastor's sermon on Faith... 
positive,on lunch....dj should come eat with me 
negative,@piginthepoke oh why are you feeling like that? 
negative,gahh noo!peyton needs to live!this is horrible 
positive,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!
positive,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
positive,to sum up my day in one word ......... kackered! 
positive,@k9wkj Great minds think alike 
negative,Is Poorly and in bed! 
positive,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows..."
positive,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% "
positive,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
negative,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  
negative,"ugh, morning's off to a rough start "
negative,just bit my tongue 
negative,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! 
positive,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla 
positive,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. "
positive,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za
negative,"baby's chicken pox are soo bad on the face, I am afraid she might have scars "
negative,i don't feel good 
positive,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! 
negative,This day will pass slowly.  All of these days will.  RAWR!!!!  ... 
negative,my car is poorly 
positive,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part
positive,No woooooork tomorrrow&amp;tuesday 
negative,Flatmates are still in the bathroom! ARGGH!! 
negative,I'm having an allergic reaction to silver earings 
negative,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??"
negative,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less "
negative,what is with msn making me click the wrong people. garrrrr 
negative,Too full of fizz but not enough cider 
positive,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ
negative,Time to sleep... Long day again tomorrow 
positive,Hahaha blakk is reckkkin it. :p throwwwwwed. 
positive,Cubs game today! My first ever 
positive,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! 
positive,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.
positive,eating cha with eric 
positive,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it "
negative,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet 
positive,"@Konstantine I said &quot;scar,&quot; sweetie. "
negative,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...
positive,FCK-Brï¿½ndby 4-0! 
negative,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with 
positive,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day
positive,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
negative,@ElleChanel want to shoot...but i'm not in charlotte .. 
positive,@sephrenia1982 good work 
positive,@KingdomGuard welcome new cd out this week...maybe even tomorrow! 
negative,@CatholicChicks hate bein on the phone that long 
positive,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too "
positive,@melbgirl It means the same to us!  #GoCats
negative,"beach this morning,bbq this afternoon. Back to school/work 2morro "
positive,@joshlam and you are how old?? REALLY?!? 
negative,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??
positive,Watched Crank 2.... awesome 
positive,@TheUncoolest 
positive,Night in with the rock star...  
positive,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 
positive,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! 
negative,"my tooth is sving, and I cannot see my dentist for a week "
negative,cant sleep got heartburn really bad 
positive,Off to Whipsnade  Hope it's dry
negative,Going To Bed ...My Ankle Hurts 
negative,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay 
negative,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.
positive,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing "
positive,Listening to the Nutcracker.  Who says it's only a Christmas thing?! 
positive,"i miss him, i cant wait to see him, im happy "
negative,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 
positive,"@mithss mourniiiiiiing eh, morniiing!!! "
positive,@pamelaong Glad the blog helped 
positive,Awesome pumpkin! Your famous 
negative,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? "
positive,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.
negative,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
positive,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! 
positive,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; "
negative,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad 
negative,I am so hungry  I hate not eating breakfast!
negative,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish 
positive,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. 
negative,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. 
positive,@ItsNeet 100%.. its like getting an A for all your classes.. 
positive,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early "
positive,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. 
positive,i have find my someone 
positive,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us 
positive,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt
positive,I'm obsessed with twitting  haha
positive,One interlock down one to go 
negative,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity "
negative,I miss Zack so much these days 
negative,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. 
positive,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. "
negative,my thumb hurts after breaking the nail.... 
positive,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs"
positive,"@JosephFrost Yeahh, that would be pretty awesome. "
positive,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! 
negative,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee "
negative,@MandyyJirouxx that page doesn't exist 
negative,fighting a cold. 
negative,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents
negative,@aleshacal my phone is dying  no charger here!
positive,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! 
negative,my tv always freezes while i'm watching inbetweeners 
negative,@softjunebreeze Ex-factor.... Me too 
negative, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess 
negative,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo
negative,tried to check out your site @poeticmindset ... not working 
positive,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace 
negative,pimples attack! Arghhhhhhhhh 
negative,"has to pack, stillll. and doesn't want to.. "
negative,@snikkins How dare you get some before I have a chance to. You're no longer my friend 
positive,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing "
negative,about to pour in orlando 
positive,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net "
positive,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow 
negative,@annieomnious    can it be fixed?  can we make a new simple one mayb?
negative,blÃ¤Ã¤ i have a headache 
positive,Has just joined Twitter.. It better be good! 
negative,Where in Singapore do they sell Dujour? 
negative,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine "
negative,haven't been on all day  went to bed late last night!
positive,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making "
positive,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking "
negative,ps: i think twitter sucks if you dont have free unlimited texts. 
positive,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. "
positive,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late
negative,Who else misses Parade the day incredibly much.. 
negative,I was caller number one. 
negative,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! 
positive,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad "
negative,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) 
positive,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann"
negative,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy"
negative,History exam today and dreading it 
negative,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3
positive,Just downloaded a new Twitter app for my phone. So much better already. 
negative,I seem to be making a habbit out of not falling asleep until very late 
negative,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? 
negative,Missionaries had passport problems. Still havn't arrived  ya'll pray!
positive,had a very good night 
positive,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb"
positive,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! 
positive,i'm going global .. 
negative,They are gone .. 
positive,Friends with scott again 
positive,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas 
positive,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today 
negative,Wooo I picked my sister and I miss the empty house. 
negative,@aleahhh season is almost done with babe 
negative,off to work    byeee xox
negative,@alexandramusic Diversity won! damnn i wanted flawless to win 
negative,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. 
negative, can some one pleease tell me how to work out the total surface area of a square pyramid? 
positive,@DENISE_RICHARDS love your hair  dont ever cut ur locks 
positive,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! 
positive,@Dee_Dee_3 high low 
positive,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx"
negative,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin 
negative,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not "
positive,On schedule now to soft launch tomorrow evening - already have first customer - lost cat 
positive,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; 
positive,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old 
negative,"Ugh, so bored today! "
positive,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? 
negative,Still at work  This entire week has felt like an extremely long and awful Monday!
negative,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless 
negative,morning twitterland...off to work i go 
negative,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it 
positive,Trying to learn some &quot;PHOTOGRAPHY&quot; 
positive,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!
negative,already miss baby donkey 
negative,@kpsomotragos I have it on good authority that we'll be getting it around 3am. 
negative,Just heard gun shots in my neighborhood!!! 
negative,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along 
negative,I am sooo tired!! My eyes literally can't stay open 
negative,I hate word challenge on facebook! 
negative,is sad she couldn't go out with her girls tonight  It's been too long....
negative,PACKING SUCKS! i miss my Lee 
positive,O how i love you sammoons  o how i do. 
negative,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. "
positive,new phone  tattoo on monday! Woo.. just had tea. yummy.
negative,waiting for my hoe to come back 
negative,"i just cried a lot  im so over that all , and i cant hear it anymore..."
negative,Trying to get on facebook!!! 
negative,I want to post lol cats on here but I can't 
positive,@RobbieTaylor I have no comment about who won the game until this replay is completed. 
positive,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX
negative,friday gimmick in the office  but always looking forward for the weekend!
positive,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas 
positive,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! 
positive,Downtown Disney 
negative,missing my mom 
negative,A little sad  pretty bad news and feel too much insecure about my playing.
negative,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... 
